delivery_id,order_id,driver_id,pickup_time,delivery_time,delivery_status,distance_km,delivery_duration_minutes
DEL-00001,ORD-00001,DRV-017,2025-10-06 13:44:17,2025-10-06 17:37:17,delivered,65.1,233
DEL-00002,ORD-00002,DRV-029,2026-03-19 14:16:29,2026-03-19 16:31:29,delivered,58.9,135
DEL-00003,ORD-00003,DRV-014,2025-05-03 05:37:35,2025-05-03 07:27:35,delivered,48.4,110
DEL-00004,ORD-00004,DRV-045,2025-12-28 04:32:22,2025-12-28 07:15:22,returned_to_warehouse,74.2,163
DEL-00005,ORD-00005,DRV-035,2025-06-04 12:24:08,2025-06-04 15:20:08,delivered,55.0,176
DEL-00006,ORD-00006,DRV-005,2025-06-19 14:02:00,2025-06-19 15:43:00,delivered,67.7,101
DEL-00007,ORD-00008,DRV-003,2025-08-06 17:11:07,2025-08-06 20:14:07,delivered,73.3,183
DEL-00008,ORD-00009,DRV-021,2026-02-01 05:29:53,2026-02-01 09:08:53,delivered,50.4,219
DEL-00009,ORD-00010,DRV-014,2025-09-29 09:56:40,2025-09-29 11:38:40,delivered,48.6,102
DEL-00010,ORD-00011,DRV-019,2025-06-17 12:21:43,2025-06-17 16:21:43,failed,34.5,240
DEL-00011,ORD-00012,DRV-038,2025-11-18 05:04:35,2025-11-18 06:06:35,delivered,12.3,62
DEL-00012,ORD-00013,DRV-046,2026-02-09 03:46:48,2026-02-09 05:53:48,delivered,9.9,127
DEL-00013,ORD-00014,DRV-042,2025-05-26 02:12:49,2025-05-26 05:11:49,failed,56.9,179
DEL-00014,ORD-00015,DRV-040,2025-10-14 12:58:50,2025-10-14 16:17:50,delivered,69.6,199
DEL-00015,ORD-00017,DRV-002,2025-07-06 02:37:32,2025-07-06 05:30:32,delivered,74.8,173
DEL-00016,ORD-00018,DRV-028,2026-02-03 14:47:11,2026-02-03 18:16:11,delivered,7.7,209
DEL-00017,ORD-00019,DRV-009,2025-09-20 10:12:26,2025-09-20 13:40:26,failed,79.0,208
DEL-00018,ORD-00021,DRV-046,2026-04-11 22:48:21,2026-04-12 00:07:21,returned_to_warehouse,65.7,79
DEL-00019,ORD-00023,DRV-041,2025-08-14 15:18:20,2025-08-14 17:05:20,delivered,75.2,107
DEL-00020,ORD-00024,DRV-033,2026-04-07 15:14:07,2026-04-07 17:11:07,delivered,33.0,117
DEL-00021,ORD-00025,DRV-033,2025-11-13 23:55:42,2025-11-14 02:30:42,delivered,7.0,155
DEL-00022,ORD-00028,DRV-029,2026-01-31 20:16:44,2026-01-31 21:22:44,delivered,72.9,66
DEL-00023,ORD-00029,DRV-022,2026-01-21 07:10:41,2026-01-21 10:24:41,delivered,44.6,194
DEL-00024,ORD-00031,DRV-025,2025-08-18 02:05:06,2025-08-18 04:54:06,delivered,77.9,169
DEL-00025,ORD-00032,DRV-047,2025-05-31 06:33:57,2025-05-31 07:15:57,delivered,32.0,42
DEL-00026,ORD-00033,DRV-024,2025-06-06 21:11:16,2025-06-07 00:39:16,delivered,58.4,208
DEL-00027,ORD-00036,DRV-039,2025-11-04 23:10:45,2025-11-05 00:58:45,returned_to_warehouse,38.5,108
DEL-00028,ORD-00037,DRV-021,2025-09-24 10:20:20,2025-09-24 11:59:20,delivered,32.5,99
DEL-00029,ORD-00040,DRV-037,2025-05-23 15:26:03,2025-05-23 17:45:03,delivered,55.6,139
DEL-00030,ORD-00041,DRV-035,2026-02-21 07:57:11,2026-02-21 11:50:11,failed,32.2,233
DEL-00031,ORD-00042,DRV-029,2025-11-26 02:39:18,2025-11-26 03:09:18,failed,68.8,30
DEL-00032,ORD-00043,DRV-035,2026-01-25 04:56:06,2026-01-25 06:17:06,delivered,32.8,81
DEL-00033,ORD-00044,DRV-025,2025-04-21 15:09:06,2025-04-21 18:05:06,delivered,70.6,176
DEL-00034,ORD-00048,DRV-023,2025-05-19 09:31:50,2025-05-19 10:34:50,delivered,2.6,63
DEL-00035,ORD-00050,DRV-027,2026-03-08 02:37:30,2026-03-08 04:28:30,delivered,59.1,111
DEL-00036,ORD-00051,DRV-034,2025-09-17 07:38:39,2025-09-17 09:19:39,delivered,27.8,101
DEL-00037,ORD-00052,DRV-023,2026-02-07 04:43:05,2026-02-07 06:55:05,delivered,27.2,132
DEL-00038,ORD-00056,DRV-012,2025-12-07 19:41:54,2025-12-07 22:17:54,returned_to_warehouse,29.5,156
DEL-00039,ORD-00057,DRV-004,2025-10-24 12:23:38,2025-10-24 14:53:38,in_transit,35.6,150
DEL-00040,ORD-00058,DRV-027,2025-09-14 06:54:27,2025-09-14 09:38:27,delivered,36.8,164
DEL-00041,ORD-00059,DRV-004,2026-03-26 13:12:30,2026-03-26 15:57:30,delivered,68.8,165
DEL-00042,ORD-00060,DRV-021,2025-11-25 16:58:10,2025-11-25 17:46:10,delivered,34.3,48
DEL-00043,ORD-00061,DRV-020,2025-04-29 18:55:06,2025-04-29 20:04:06,delivered,15.7,69
DEL-00044,ORD-00062,DRV-031,2025-06-21 04:58:51,2025-06-21 05:45:51,delivered,62.0,47
DEL-00045,ORD-00063,DRV-013,2025-10-17 20:02:06,2025-10-17 21:47:06,delivered,2.4,105
DEL-00046,ORD-00064,DRV-028,2026-03-29 09:13:29,2026-03-29 11:58:29,delivered,33.7,165
DEL-00047,ORD-00065,DRV-031,2025-11-30 21:57:05,2025-12-01 00:38:05,delivered,62.5,161
DEL-00048,ORD-00066,DRV-016,2026-01-28 22:04:30,2026-01-28 22:44:30,delivered,59.0,40
DEL-00049,ORD-00067,DRV-018,2025-08-21 22:20:27,2025-08-21 23:39:27,delivered,5.6,79
DEL-00050,ORD-00068,DRV-012,2025-04-17 20:11:59,2025-04-17 21:35:59,delivered,42.0,84
DEL-00051,ORD-00069,DRV-035,2025-07-10 22:41:41,2025-07-11 02:35:41,delivered,56.1,234
DEL-00052,ORD-00070,DRV-039,2025-05-30 08:11:07,2025-05-30 11:49:07,in_transit,43.7,218
DEL-00053,ORD-00073,DRV-043,2025-08-28 00:28:47,2025-08-28 02:09:47,delivered,60.2,101
DEL-00054,ORD-00074,DRV-005,2026-01-20 08:00:26,2026-01-20 08:33:26,delivered,47.5,33
DEL-00055,ORD-00075,DRV-037,2025-11-01 02:13:14,2025-11-01 05:18:14,delivered,39.1,185
DEL-00056,ORD-00076,DRV-010,2025-07-07 05:15:43,2025-07-07 07:49:43,delivered,12.5,154
DEL-00057,ORD-00078,DRV-040,2025-12-14 01:38:37,2025-12-14 03:16:37,delivered,10.5,98
DEL-00058,ORD-00080,DRV-003,2025-06-26 06:14:03,2025-06-26 08:58:03,delivered,3.0,164
DEL-00059,ORD-00081,DRV-049,2026-02-01 23:03:29,2026-02-02 00:25:29,delivered,29.6,82
DEL-00060,ORD-00082,DRV-001,2025-12-23 21:49:20,2025-12-24 00:24:20,delivered,25.3,155
DEL-00061,ORD-00084,DRV-015,2025-10-07 13:43:44,2025-10-07 15:35:44,delivered,40.9,112
DEL-00062,ORD-00085,DRV-038,2025-06-20 16:45:08,2025-06-20 18:19:08,failed,54.8,94
DEL-00063,ORD-00086,DRV-043,2025-12-18 18:26:58,2025-12-18 21:36:58,in_transit,61.4,190
DEL-00064,ORD-00087,DRV-018,2025-05-02 16:04:51,2025-05-02 16:34:51,delivered,15.1,30
DEL-00065,ORD-00088,DRV-015,2025-12-07 16:50:07,2025-12-07 20:06:07,failed,70.0,196
DEL-00066,ORD-00089,DRV-049,2025-07-29 02:56:49,2025-07-29 04:56:49,delivered,73.1,120
DEL-00067,ORD-00090,DRV-002,2025-09-21 21:22:02,2025-09-21 23:17:02,delivered,42.6,115
DEL-00068,ORD-00092,DRV-015,2026-02-05 01:55:25,2026-02-05 03:13:25,delivered,67.9,78
DEL-00069,ORD-00099,DRV-031,2025-10-10 05:04:18,2025-10-10 07:58:18,delivered,60.0,174
DEL-00070,ORD-00100,DRV-024,2025-05-28 22:32:19,2025-05-29 01:18:19,delivered,36.1,166
DEL-00071,ORD-00101,DRV-028,2026-03-11 05:11:21,2026-03-11 06:10:21,delivered,53.2,59
DEL-00072,ORD-00102,DRV-047,2026-01-06 05:47:10,2026-01-06 07:25:10,delivered,79.5,98
DEL-00073,ORD-00103,DRV-047,2025-11-18 16:39:51,2025-11-18 18:00:51,delivered,2.3,81
DEL-00074,ORD-00104,DRV-026,2025-08-13 04:32:06,2025-08-13 07:37:06,delivered,27.0,185
DEL-00075,ORD-00105,DRV-037,2025-06-29 05:20:49,2025-06-29 08:01:49,delivered,64.9,161
DEL-00076,ORD-00106,DRV-011,2025-12-20 02:16:01,2025-12-20 03:26:01,delivered,21.1,70
DEL-00077,ORD-00108,DRV-047,2026-01-27 16:27:01,2026-01-27 18:46:01,delivered,4.4,139
DEL-00078,ORD-00109,DRV-011,2025-08-14 08:56:12,2025-08-14 11:02:12,delivered,57.9,126
DEL-00079,ORD-00111,DRV-034,2026-01-11 11:03:38,2026-01-11 13:20:38,delivered,67.4,137
DEL-00080,ORD-00112,DRV-045,2026-02-28 01:21:16,2026-02-28 02:16:16,delivered,68.2,55
DEL-00081,ORD-00113,DRV-014,2025-08-30 22:58:00,2025-08-31 01:06:00,delivered,33.4,128
DEL-00082,ORD-00115,DRV-006,2025-10-06 13:43:39,2025-10-06 16:57:39,delivered,73.4,194
DEL-00083,ORD-00116,DRV-006,2025-10-11 20:20:30,2025-10-11 23:05:30,delivered,74.0,165
DEL-00084,ORD-00117,DRV-010,2026-03-08 05:57:05,2026-03-08 08:45:05,delivered,41.1,168
DEL-00085,ORD-00118,DRV-037,2025-06-10 01:39:37,2025-06-10 03:46:37,delivered,66.2,127
DEL-00086,ORD-00119,DRV-002,2026-03-21 11:46:32,2026-03-21 14:02:32,delivered,50.6,136
DEL-00087,ORD-00120,DRV-030,2025-10-01 10:28:50,2025-10-01 12:45:50,delivered,74.4,137
DEL-00088,ORD-00122,DRV-029,2025-06-06 12:49:48,2025-06-06 13:55:48,delivered,19.2,66
DEL-00089,ORD-00123,DRV-010,2026-01-05 07:55:12,2026-01-05 10:33:12,in_transit,75.8,158
DEL-00090,ORD-00124,DRV-037,2025-12-04 23:17:07,2025-12-05 00:30:07,delivered,19.8,73
DEL-00091,ORD-00126,DRV-028,2025-06-28 18:40:19,2025-06-28 19:19:19,delivered,57.3,39
DEL-00092,ORD-00127,DRV-035,2025-06-02 02:14:52,2025-06-02 06:14:52,delivered,23.3,240
DEL-00093,ORD-00129,DRV-036,2025-05-09 06:01:57,2025-05-09 09:14:57,delivered,36.9,193
DEL-00094,ORD-00130,DRV-021,2025-06-05 08:40:45,2025-06-05 12:37:45,delivered,38.3,237
DEL-00095,ORD-00131,DRV-027,2026-02-22 17:30:41,2026-02-22 19:06:41,delivered,7.5,96
DEL-00096,ORD-00132,DRV-005,2025-10-01 13:55:58,2025-10-01 15:45:58,delivered,26.5,110
DEL-00097,ORD-00134,DRV-029,2025-08-21 10:50:41,2025-08-21 13:39:41,delivered,44.2,169
DEL-00098,ORD-00135,DRV-038,2026-03-07 12:11:17,2026-03-07 13:34:17,delivered,38.1,83
DEL-00099,ORD-00136,DRV-038,2025-11-22 10:28:05,2025-11-22 12:20:05,delivered,40.5,112
DEL-00100,ORD-00139,DRV-046,2025-11-25 22:38:54,2025-11-26 00:42:54,delivered,41.8,124
DEL-00101,ORD-00141,DRV-014,2026-04-06 19:07:04,2026-04-06 21:16:04,delivered,15.1,129
DEL-00102,ORD-00145,DRV-014,2025-10-12 19:28:02,2025-10-12 21:05:02,delivered,44.9,97
DEL-00103,ORD-00146,DRV-044,2026-04-15 19:53:40,2026-04-15 20:28:40,returned_to_warehouse,69.2,35
DEL-00104,ORD-00147,DRV-026,2025-11-19 02:47:45,2025-11-19 04:59:45,delivered,8.2,132
