order_id,customer_id,warehouse_id,order_date,order_status,total_amount,item_count
ORD-00001,CUST-0298,WH-006,2025-10-04 09:44:17,delivered,272.5,7
ORD-00002,CUST-0382,WH-006,2026-03-16 14:16:29,delivered,235.07,5
ORD-00003,CUST-0129,WH-004,2025-05-02 00:37:35,shipped,108.4,2
ORD-00004,CUST-0381,WH-003,2025-12-27 10:32:22,shipped,373.22,5
ORD-00005,CUST-0371,WH-005,2025-06-01 23:24:08,returned,418.82,5
ORD-00006,CUST-0117,WH-006,2025-06-17 05:02:00,shipped,21.86,9
ORD-00007,CUST-0065,WH-005,2025-05-03 13:03:35,pending,41.45,5
ORD-00008,CUST-0358,WH-003,2025-08-05 13:11:07,delivered,380.1,2
ORD-00009,CUST-0447,WH-001,2026-01-30 04:29:53,delivered,242.66,8
ORD-00010,CUST-0175,WH-003,2025-09-28 21:56:40,returned,137.45,8
ORD-00011,CUST-0059,WH-002,2025-06-16 15:21:43,delivered,50.93,11
ORD-00012,CUST-0352,WH-001,2025-11-17 04:04:35,shipped,408.4,5
ORD-00013,CUST-0044,WH-004,2026-02-07 23:46:48,shipped,385.76,10
ORD-00014,CUST-0306,WH-004,2025-05-24 03:12:49,delivered,199.48,8
ORD-00015,CUST-0153,WH-007,2025-10-13 20:58:50,delivered,316.2,10
ORD-00016,CUST-0492,WH-002,2026-02-01 04:31:05,cancelled,115.78,4
ORD-00017,CUST-0136,WH-002,2025-07-04 20:37:32,shipped,99.3,2
ORD-00018,CUST-0081,WH-001,2026-02-03 02:47:11,delivered,349.35,8
ORD-00019,CUST-0150,WH-001,2025-09-17 23:12:26,delivered,357.87,12
ORD-00020,CUST-0441,WH-008,2026-02-05 16:44:18,processing,128.21,5
ORD-00021,CUST-0404,WH-004,2026-04-09 00:48:21,delivered,279.11,11
ORD-00022,CUST-0077,WH-005,2025-12-19 01:48:45,cancelled,49.63,3
ORD-00023,CUST-0406,WH-005,2025-08-11 17:18:20,delivered,414.76,5
ORD-00024,CUST-0225,WH-002,2026-04-06 17:14:07,delivered,162.48,7
ORD-00025,CUST-0483,WH-005,2025-11-11 15:55:42,delivered,254.49,2
ORD-00026,CUST-0307,WH-001,2025-06-04 10:56:11,cancelled,371.25,10
ORD-00027,CUST-0129,WH-001,2026-02-14 19:03:32,processing,481.53,10
ORD-00028,CUST-0301,WH-001,2026-01-29 23:16:44,returned,341.06,5
ORD-00029,CUST-0296,WH-001,2026-01-19 10:10:41,delivered,99.97,9
ORD-00030,CUST-0334,WH-008,2025-11-17 21:58:58,cancelled,103.02,10
ORD-00031,CUST-0224,WH-008,2025-08-15 20:05:06,returned,242.96,7
ORD-00032,CUST-0171,WH-006,2025-05-29 09:33:57,delivered,431.0,6
ORD-00033,CUST-0211,WH-008,2025-06-05 21:11:16,delivered,473.42,9
ORD-00034,CUST-0019,WH-008,2025-09-13 22:16:59,processing,137.41,2
ORD-00035,CUST-0497,WH-007,2025-12-25 14:42:06,cancelled,415.09,1
ORD-00036,CUST-0337,WH-008,2025-11-03 10:10:45,delivered,105.98,6
ORD-00037,CUST-0319,WH-008,2025-09-22 12:20:20,delivered,383.6,4
ORD-00038,CUST-0137,WH-003,2026-03-19 09:23:22,cancelled,227.49,12
ORD-00039,CUST-0249,WH-002,2025-04-30 03:53:48,pending,320.56,4
ORD-00040,CUST-0364,WH-003,2025-05-21 19:26:03,delivered,21.63,7
ORD-00041,CUST-0048,WH-004,2026-02-18 18:57:11,returned,457.77,8
ORD-00042,CUST-0485,WH-002,2025-11-24 23:39:18,delivered,89.68,12
ORD-00043,CUST-0150,WH-005,2026-01-24 07:56:06,delivered,249.01,8
ORD-00044,CUST-0125,WH-008,2025-04-21 00:09:06,delivered,201.04,10
ORD-00045,CUST-0261,WH-003,2025-10-10 03:46:48,cancelled,148.98,7
ORD-00046,CUST-0175,WH-005,2025-04-17 14:47:55,cancelled,152.18,5
ORD-00047,CUST-0429,WH-008,2025-06-19 19:49:48,cancelled,231.58,8
ORD-00048,CUST-0177,WH-006,2025-05-17 20:31:50,delivered,278.56,8
ORD-00049,CUST-0478,WH-006,2025-12-09 08:16:29,cancelled,490.68,4
ORD-00050,CUST-0293,WH-007,2026-03-05 05:37:30,delivered,391.14,1
ORD-00051,CUST-0163,WH-008,2025-09-14 07:38:39,delivered,408.53,7
ORD-00052,CUST-0340,WH-003,2026-02-04 04:43:05,delivered,32.95,9
ORD-00053,CUST-0495,WH-006,2026-01-22 11:14:21,cancelled,438.98,8
ORD-00054,CUST-0052,WH-008,2025-12-24 04:11:13,pending,84.92,11
ORD-00055,CUST-0497,WH-003,2025-06-29 14:17:27,processing,394.04,5
ORD-00056,CUST-0174,WH-007,2025-12-04 23:41:54,delivered,428.11,11
ORD-00057,CUST-0440,WH-007,2025-10-23 08:23:38,returned,319.0,8
ORD-00058,CUST-0447,WH-001,2025-09-12 18:54:27,delivered,128.86,11
ORD-00059,CUST-0472,WH-005,2026-03-23 22:12:30,returned,377.18,7
ORD-00060,CUST-0051,WH-002,2025-11-24 06:58:10,delivered,351.59,1
ORD-00061,CUST-0024,WH-006,2025-04-29 00:55:06,delivered,157.28,6
ORD-00062,CUST-0221,WH-003,2025-06-20 00:58:51,delivered,214.85,11
ORD-00063,CUST-0406,WH-003,2025-10-14 21:02:06,shipped,53.3,7
ORD-00064,CUST-0318,WH-004,2026-03-28 09:13:29,delivered,297.83,4
ORD-00065,CUST-0237,WH-005,2025-11-30 08:57:05,delivered,338.42,8
ORD-00066,CUST-0462,WH-005,2026-01-26 03:04:30,delivered,91.62,8
ORD-00067,CUST-0484,WH-006,2025-08-20 08:20:27,returned,160.09,7
ORD-00068,CUST-0354,WH-005,2025-04-16 23:11:59,delivered,161.53,7
ORD-00069,CUST-0437,WH-008,2025-07-10 08:41:41,shipped,199.96,6
ORD-00070,CUST-0295,WH-005,2025-05-28 05:11:07,returned,158.19,11
ORD-00071,CUST-0203,WH-005,2025-10-25 22:44:14,pending,434.56,12
ORD-00072,CUST-0499,WH-001,2025-05-20 05:52:54,cancelled,376.41,5
ORD-00073,CUST-0398,WH-004,2025-08-25 11:28:47,delivered,185.88,11
ORD-00074,CUST-0098,WH-005,2026-01-18 07:00:26,delivered,364.65,11
ORD-00075,CUST-0349,WH-003,2025-10-29 10:13:14,delivered,453.15,11
ORD-00076,CUST-0021,WH-005,2025-07-04 09:15:43,delivered,31.18,6
ORD-00077,CUST-0375,WH-003,2026-01-21 15:40:44,processing,158.13,12
ORD-00078,CUST-0213,WH-003,2025-12-12 02:38:37,delivered,396.46,6
ORD-00079,CUST-0272,WH-005,2025-07-25 06:13:44,cancelled,139.63,8
ORD-00080,CUST-0496,WH-005,2025-06-25 01:14:03,delivered,179.28,2
ORD-00081,CUST-0240,WH-002,2026-01-31 06:03:29,shipped,483.75,11
ORD-00082,CUST-0371,WH-007,2025-12-21 13:49:20,returned,405.23,6
ORD-00083,CUST-0047,WH-007,2026-04-04 01:25:32,pending,275.24,8
ORD-00084,CUST-0189,WH-005,2025-10-05 13:43:44,delivered,413.87,6
ORD-00085,CUST-0056,WH-004,2025-06-18 16:45:08,delivered,315.48,9
ORD-00086,CUST-0168,WH-004,2025-12-16 01:26:58,delivered,323.17,8
ORD-00087,CUST-0466,WH-005,2025-05-01 01:04:51,delivered,71.59,1
ORD-00088,CUST-0485,WH-001,2025-12-06 19:50:07,delivered,253.92,2
ORD-00089,CUST-0121,WH-003,2025-07-28 09:56:49,delivered,194.94,12
ORD-00090,CUST-0357,WH-007,2025-09-21 01:22:02,delivered,367.4,7
ORD-00091,CUST-0336,WH-002,2025-08-15 09:29:11,cancelled,313.59,5
ORD-00092,CUST-0017,WH-006,2026-02-03 08:55:25,delivered,230.68,4
ORD-00093,CUST-0438,WH-006,2026-01-17 07:09:45,processing,347.55,9
